"Date","Time","Open","High","Low","Close","Volume"
01/07/2019,1049,148.54,148.78,148.51,148.74,97477
01/07/2019,1050,148.74,148.83,148.62,148.69,89549
01/07/2019,1051,148.68,148.71,148.47,148.59,80047
01/07/2019,1052,148.58,148.8,148.55,148.68,64685
01/07/2019,1053,148.68,148.71,148.59,148.64,77274
01/07/2019,1054,148.65,148.76,148.54,148.65,100973
01/07/2019,1055,148.63,148.69,148.55,148.55,58773
01/07/2019,1056,148.56,148.61,148.46,148.53,72248
01/07/2019,1057,148.53,148.59,148.13,148.17,177125
01/07/2019,1058,148.18,148.18,147.83,148.05,301306
01/07/2019,1059,148.05,148.15,147.95,148.03,105168
01/07/2019,1100,148.03,148.03,147.53,147.69,231669
01/07/2019,1101,147.68,147.79,147.39,147.42,251801
01/07/2019,1102,147.42,147.46,147.02,147.14,449429
01/07/2019,1103,147.11,147.38,146.89,147.15,406482
01/07/2019,1104,147.17,147.35,147.11,147.28,188553
01/07/2019,1105,147.27,147.37,147.13,147.28,161723
01/07/2019,1106,147.28,147.33,146.91,147.03,191407
01/07/2019,1107,147.03,147.12,146.9,147.01,132241
01/07/2019,1108,147.03,147.3,146.93,147.25,128936
01/07/2019,1109,147.25,147.26,146.71,146.74,305359
01/07/2019,1110,146.73,146.75,146.51,146.65,226950
01/07/2019,1111,146.65,146.84,146.22,146.39,385128
01/07/2019,1112,146.38,146.49,146.3,146.46,151808
01/07/2019,1113,146.45,146.59,146.36,146.53,139436
01/07/2019,1114,146.53,146.64,146.4,146.46,159257
01/07/2019,1115,146.46,146.58,146.35,146.45,195611
01/07/2019,1116,146.46,146.69,146.35,146.56,164456
01/07/2019,1117,146.55,146.64,146.4,146.4,120365
01/07/2019,1118,146.42,146.6,146.4,146.58,116342
01/07/2019,1119,146.58,146.58,146.38,146.57,132599
01/07/2019,1120,146.56,146.56,146.3,146.34,143719
01/07/2019,1121,146.35,146.43,146.07,146.12,224569
01/07/2019,1122,146.12,146.27,145.93,146.23,345147
01/07/2019,1123,146.23,146.36,146.22,146.3,117844
01/07/2019,1124,146.3,146.31,146.01,146.09,177233
01/07/2019,1125,146.08,146.2,145.9,146.08,182049
01/07/2019,1126,146.08,146.33,146.06,146.17,134878
01/07/2019,1127,146.17,146.22,146,146.08,113476
01/07/2019,1128,146.1,146.28,146.09,146.24,75517
01/07/2019,1129,146.25,146.41,146.2,146.28,116210
01/07/2019,1130,146.29,146.35,146.06,146.15,88972
01/07/2019,1131,146.15,146.36,146.1,146.23,64507
01/07/2019,1132,146.22,146.42,146.16,146.39,94697
01/07/2019,1133,146.4,146.56,146.33,146.5,162814
01/07/2019,1134,146.5,146.68,146.5,146.68,102870
01/07/2019,1135,146.69,146.91,146.64,146.88,202552
01/07/2019,1136,146.88,146.91,146.69,146.71,149516
01/07/2019,1137,146.71,146.85,146.69,146.85,100007
